seed,dt,error
32,8.85088067e-06,0.0087639257136087
33,8.85088067e-06,0.0384386894111662
34,8.85088067e-06,0.0436549200924574
35,8.85088067e-06,0.0375924943991875
36,8.85088067e-06,0.0282148644092903
37,8.85088067e-06,0.0156466315692192
38,8.85088067e-06,0.0356369710737009
39,8.85088067e-06,0.0321900979106172
40,8.85088067e-06,0.0205931238052961
41,8.85088067e-06,0.0043473908969115
42,8.85088067e-06,0.0264400302643975
43,8.85088067e-06,0.0093735454382104
44,8.85088067e-06,0.0203073272364253
45,8.85088067e-06,0.0211664201530646
46,8.85088067e-06,0.0015784239648295
47,8.85088067e-06,0.0098362990018755
48,8.85088067e-06,0.0847985993827741
49,8.85088067e-06,0.0169846451836264
0,1.93117038e-05,0.132023806760103
1,1.93117038e-05,0.0675217165447606
2,1.93117038e-05,0.0619608319850018
3,1.93117038e-05,0.3776177486944657
4,1.93117038e-05,0.2853347840037726
5,1.93117038e-05,0.1201709923597904
6,1.93117038e-05,0.133269528617765
7,1.93117038e-05,0.1705424978166049
8,1.93117038e-05,0.1407236094542915
9,1.93117038e-05,0.6348435946637542
10,1.93117038e-05,0.2942518447726913
11,1.93117038e-05,0.1124965760444147
12,1.93117038e-05,0.1584720518532092
13,1.93117038e-05,0.0941707459357508
14,1.93117038e-05,0.1089430610664965
15,1.93117038e-05,0.105931647387091
16,1.93117038e-05,0.133703650576419
17,1.93117038e-05,0.3099893966614282
18,1.93117038e-05,0.0128762382680196
19,1.93117038e-05,0.1993780895734507
20,1.93117038e-05,0.2833585963003855
21,1.93117038e-05,0.2143459083854573
22,1.93117038e-05,0.3152842074226102
23,1.93117038e-05,0.1486163757822092
24,1.93117038e-05,0.0424182996713131
25,1.93117038e-05,0.4669981387406063
26,1.93117038e-05,0.1615522963948636
27,1.93117038e-05,0.0112852911044317
28,1.93117038e-05,0.0983612484674514
29,1.93117038e-05,0.1454402817903989
30,1.93117038e-05,0.2919845762855493
31,1.93117038e-05,0.0475062696765629
32,1.93117038e-05,0.0709263164004355
33,1.93117038e-05,0.1192702323300956
34,1.93117038e-05,0.1895897073296553
35,1.93117038e-05,0.3248159168898671
36,1.93117038e-05,0.091325467199167
37,1.93117038e-05,0.0137383223633125
38,1.93117038e-05,0.1869193542779038
39,1.93117038e-05,0.294683988738262
40,1.93117038e-05,0.1607283472246063
41,1.93117038e-05,0.0990190106363185
42,1.93117038e-05,0.0730333330042558
43,1.93117038e-05,0.1539335816928327
44,1.93117038e-05,0.1032235804449012
45,1.93117038e-05,0.1067730800654981
46,1.93117038e-05,0.1384712505940216
47,1.93117038e-05,0.1794607521465257
48,1.93117038e-05,0.3311229336959211
49,1.93117038e-05,0.1895826201979367
0,4.85088067e-06,0.013893770832640697
0,4.85088067e-06,0.005284380194971657
0,4.85088067e-06,0.0121785691518468
