seed,dt,error
26,2.89675556e-06,0.0001361263383772
27,2.89675556e-06,0.0019854294990771
28,2.89675556e-06,0.0041630939242152
29,2.89675556e-06,0.0016617554545619
30,2.89675556e-06,0.0004998588248061
31,2.89675556e-06,0.0014176344289446
32,2.89675556e-06,0.0022881670106402
33,2.89675556e-06,0.0023750636868874
34,2.89675556e-06,0.0036163314514852
35,2.89675556e-06,0.0031045670376557
36,2.89675556e-06,0.0004979059375816
37,2.89675556e-06,0.0007983191288068
38,2.89675556e-06,0.0025474541291577
39,2.89675556e-06,0.0024457262172778
40,2.89675556e-06,0.0006090875120383
41,2.89675556e-06,0.0039906408237893
42,2.89675556e-06,0.0029272474085787
43,2.89675556e-06,0.0004755180492561
44,2.89675556e-06,0.0036342884620266
45,2.89675556e-06,0.0012612539923192
46,2.89675556e-06,0.0028323851722114
47,2.89675556e-06,0.0021611496332556
48,2.89675556e-06,0.0013592399336922
49,2.89675556e-06,0.0007530855240563
0,4.85088067e-06,0.0034111337677312
1,4.85088067e-06,0.0020560188142967
2,4.85088067e-06,0.0007655024902482
3,4.85088067e-06,0.0093297633349678
4,4.85088067e-06,0.0124042155622321
5,4.85088067e-06,0.0080776310553358
6,4.85088067e-06,0.0030809754251681
7,4.85088067e-06,0.0026498174950893
8,4.85088067e-06,0.005271007708408
9,4.85088067e-06,0.0025868934876014
10,4.85088067e-06,0.002946638241211
11,4.85088067e-06,3.392438041263213e-05
12,4.85088067e-06,0.0001457262819656
13,4.85088067e-06,0.0115320992383037
14,4.85088067e-06,0.0049094788063432
15,4.85088067e-06,0.0096421559553674
16,4.85088067e-06,0.0051998966536139
17,4.85088067e-06,0.0082397836610302
18,4.85088067e-06,0.003591164300891
19,4.85088067e-06,0.0055614607284304
20,4.85088067e-06,0.0109349024034937
21,4.85088067e-06,0.0109379661782753
22,4.85088067e-06,0.0024290914409269
23,4.85088067e-06,0.0072578515891276
24,4.85088067e-06,0.0013542124515061
25,4.85088067e-06,0.0042236460171492
26,4.85088067e-06,0.0055933955977489
27,4.85088067e-06,0.0044793535141243
28,4.85088067e-06,0.0076917117678773
29,4.85088067e-06,0.0058863351325933
30,4.85088067e-06,0.0044202306344794
31,4.85088067e-06,0.0084044785677489
32,4.85088067e-06,0.0075161018572306
33,4.85088067e-06,0.0090636767743666
34,4.85088067e-06,0.0025621107831614
35,4.85088067e-06,0.0058007584199542
36,4.85088067e-06,0.0070483034629576
37,4.85088067e-06,0.0020746637711988
38,4.85088067e-06,0.000430004914168
39,4.85088067e-06,0.0034483112095648
40,4.85088067e-06,0.008580202303321
41,4.85088067e-06,0.0095840174017516
42,4.85088067e-06,0.0060540867603913
43,4.85088067e-06,0.0235779537174126
44,4.85088067e-06,0.0002706979949457
45,4.85088067e-06,0.0023538884725199
46,4.85088067e-06,0.0008559350676474
