seed dt integration_type
34 1.93117038e-05 "Fincham1992"
35 1.93117038e-05 "Fincham1992"
36 1.93117038e-05 "Fincham1992"
37 1.93117038e-05 "Fincham1992"
38 1.93117038e-05 "Fincham1992"
39 1.93117038e-05 "Fincham1992"
40 1.93117038e-05 "Fincham1992"
41 1.93117038e-05 "Fincham1992"
42 1.93117038e-05 "Fincham1992"
43 1.93117038e-05 "Fincham1992"
44 1.93117038e-05 "Fincham1992"
45 1.93117038e-05 "Fincham1992"
46 1.93117038e-05 "Fincham1992"
47 1.93117038e-05 "Fincham1992"
48 1.93117038e-05 "Fincham1992"
49 1.93117038e-05 "Fincham1992"
0 1.1e-07 "Omelyan1998"
1 1.1e-07 "Omelyan1998"
2 1.1e-07 "Omelyan1998"
3 1.1e-07 "Omelyan1998"
4 1.1e-07 "Omelyan1998"
5 1.1e-07 "Omelyan1998"
6 1.1e-07 "Omelyan1998"
7 1.1e-07 "Omelyan1998"
8 1.1e-07 "Omelyan1998"
9 1.1e-07 "Omelyan1998"
10 1.1e-07 "Omelyan1998"
11 1.1e-07 "Omelyan1998"
12 1.1e-07 "Omelyan1998"
13 1.1e-07 "Omelyan1998"
14 1.1e-07 "Omelyan1998"
15 1.1e-07 "Omelyan1998"
16 1.1e-07 "Omelyan1998"
17 1.1e-07 "Omelyan1998"
18 1.1e-07 "Omelyan1998"
19 1.1e-07 "Omelyan1998"
20 1.1e-07 "Omelyan1998"
21 1.1e-07 "Omelyan1998"
22 1.1e-07 "Omelyan1998"
23 1.1e-07 "Omelyan1998"
24 1.1e-07 "Omelyan1998"
25 1.1e-07 "Omelyan1998"
26 1.1e-07 "Omelyan1998"
27 1.1e-07 "Omelyan1998"
28 1.1e-07 "Omelyan1998"
29 1.1e-07 "Omelyan1998"
30 1.1e-07 "Omelyan1998"
31 1.1e-07 "Omelyan1998"
32 1.1e-07 "Omelyan1998"
33 1.1e-07 "Omelyan1998"
34 1.1e-07 "Omelyan1998"
35 1.1e-07 "Omelyan1998"
36 1.1e-07 "Omelyan1998"
37 1.1e-07 "Omelyan1998"
38 1.1e-07 "Omelyan1998"
39 1.1e-07 "Omelyan1998"
40 1.1e-07 "Omelyan1998"
41 1.1e-07 "Omelyan1998"
42 1.1e-07 "Omelyan1998"
43 1.1e-07 "Omelyan1998"
44 1.1e-07 "Omelyan1998"
45 1.1e-07 "Omelyan1998"
46 1.1e-07 "Omelyan1998"
47 1.1e-07 "Omelyan1998"
48 1.1e-07 "Omelyan1998"
49 1.1e-07 "Omelyan1998"
0 1.93117038e-07 "Omelyan1998"
1 1.93117038e-07 "Omelyan1998"
2 1.93117038e-07 "Omelyan1998"
3 1.93117038e-07 "Omelyan1998"
4 1.93117038e-07 "Omelyan1998"
5 1.93117038e-07 "Omelyan1998"
6 1.93117038e-07 "Omelyan1998"
7 1.93117038e-07 "Omelyan1998"
8 1.93117038e-07 "Omelyan1998"
9 1.93117038e-07 "Omelyan1998"
10 1.93117038e-07 "Omelyan1998"
11 1.93117038e-07 "Omelyan1998"
12 1.93117038e-07 "Omelyan1998"
13 1.93117038e-07 "Omelyan1998"
14 1.93117038e-07 "Omelyan1998"
15 1.93117038e-07 "Omelyan1998"
16 1.93117038e-07 "Omelyan1998"
17 1.93117038e-07 "Omelyan1998"
18 1.93117038e-07 "Omelyan1998"
19 1.93117038e-07 "Omelyan1998"
20 1.93117038e-07 "Omelyan1998"
21 1.93117038e-07 "Omelyan1998"
22 1.93117038e-07 "Omelyan1998"
23 1.93117038e-07 "Omelyan1998"
24 1.93117038e-07 "Omelyan1998"
25 1.93117038e-07 "Omelyan1998"
26 1.93117038e-07 "Omelyan1998"
27 1.93117038e-07 "Omelyan1998"
28 1.93117038e-07 "Omelyan1998"
29 1.93117038e-07 "Omelyan1998"
30 1.93117038e-07 "Omelyan1998"
31 1.93117038e-07 "Omelyan1998"
32 1.93117038e-07 "Omelyan1998"
33 1.93117038e-07 "Omelyan1998"
34 1.93117038e-07 "Omelyan1998"
35 1.93117038e-07 "Omelyan1998"
36 1.93117038e-07 "Omelyan1998"
37 1.93117038e-07 "Omelyan1998"
38 1.93117038e-07 "Omelyan1998"
39 1.93117038e-07 "Omelyan1998"
40 1.93117038e-07 "Omelyan1998"
41 1.93117038e-07 "Omelyan1998"
42 1.93117038e-07 "Omelyan1998"
43 1.93117038e-07 "Omelyan1998"
44 1.93117038e-07 "Omelyan1998"
45 1.93117038e-07 "Omelyan1998"
46 1.93117038e-07 "Omelyan1998"
47 1.93117038e-07 "Omelyan1998"
48 1.93117038e-07 "Omelyan1998"
49 1.93117038e-07 "Omelyan1998"
0 3.06069879e-07 "Omelyan1998"
1 3.06069879e-07 "Omelyan1998"
2 3.06069879e-07 "Omelyan1998"
3 3.06069879e-07 "Omelyan1998"
4 3.06069879e-07 "Omelyan1998"
5 3.06069879e-07 "Omelyan1998"
6 3.06069879e-07 "Omelyan1998"
7 3.06069879e-07 "Omelyan1998"
8 3.06069879e-07 "Omelyan1998"
9 3.06069879e-07 "Omelyan1998"
10 3.06069879e-07 "Omelyan1998"
11 3.06069879e-07 "Omelyan1998"
12 3.06069879e-07 "Omelyan1998"
13 3.06069879e-07 "Omelyan1998"
14 3.06069879e-07 "Omelyan1998"
15 3.06069879e-07 "Omelyan1998"
16 3.06069879e-07 "Omelyan1998"
17 3.06069879e-07 "Omelyan1998"
18 3.06069879e-07 "Omelyan1998"
19 3.06069879e-07 "Omelyan1998"
20 3.06069879e-07 "Omelyan1998"
21 3.06069879e-07 "Omelyan1998"
22 3.06069879e-07 "Omelyan1998"
23 3.06069879e-07 "Omelyan1998"
24 3.06069879e-07 "Omelyan1998"
25 3.06069879e-07 "Omelyan1998"
26 3.06069879e-07 "Omelyan1998"
27 3.06069879e-07 "Omelyan1998"
28 3.06069879e-07 "Omelyan1998"
29 3.06069879e-07 "Omelyan1998"
30 3.06069879e-07 "Omelyan1998"
31 3.06069879e-07 "Omelyan1998"
32 3.06069879e-07 "Omelyan1998"
33 3.06069879e-07 "Omelyan1998"
34 3.06069879e-07 "Omelyan1998"
35 3.06069879e-07 "Omelyan1998"
36 3.06069879e-07 "Omelyan1998"
37 3.06069879e-07 "Omelyan1998"
38 3.06069879e-07 "Omelyan1998"
39 3.06069879e-07 "Omelyan1998"
40 3.06069879e-07 "Omelyan1998"
